Geneid	LIB21427	LIB21428	LIB21429	LIB21430	LIB21431	LIB21432	LIB21433	LIB21434	LIB21435	LIB21436	LIB21437	LIB21438
ENSMUSG00000102693	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	4	2	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000102851	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104017	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147	3	0	0	2	0	3	2	4	4	2	0	0
ENSMUSG00000103161	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102331	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102348	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102948	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104123	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	53	75	44	53	52	18	15	24	27	19	47	48
ENSMUSG00000104238	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102269	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000096126	5	2	1	0	1	0	0	1	0	0	0	0
ENSMUSG00000103003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000102735	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104	6	3	1	7	4	2	2	4	2	2	6	3
ENSMUSG00000102175	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088000	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103922	1	7	3	10	4	2	0	3	0	1	0	1
ENSMUSG00000033845	1504	1592	1194	1485	1498	1279	846	1327	886	1769	1563	1226
ENSMUSG00000102275	21	22	30	36	30	19	9	30	15	24	14	30
ENSMUSG00000025903	5717	5926	7340	7340	6364	4151	2177	3977	5449	6224	4986	5404
ENSMUSG00000104217	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033813	1493	1846	1719	2404	1527	967	686	1413	1415	2077	1477	1724
ENSMUSG00000062588	12	20	0	2	8	2	4	4	14	7	8	4
ENSMUSG00000103280	2	0	10	2	3	2	0	0	0	2	6	0
ENSMUSG00000002459	0	4	7	1	4	0	0	0	1	1	0	7
ENSMUSG00000091305	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102653	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085623	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091665	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033793	1960	2198	1791	2172	1570	1430	1092	2144	1715	2604	2234	2153
ENSMUSG00000104352	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104046	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102907	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025905	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103936	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103090	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025907	1832	2153	1796	2365	1639	1109	942	1267	2165	3378	1893	2362
ENSMUSG00000090031	98	62	89	117	75	50	50	66	83	106	103	89
ENSMUSG00000087247	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103355	0	0	0	0	0	0	0	0	0	2	0	1
ENSMUSG00000102706	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103845	0	0	1	0	1	0	0	0	0	2	0	2
ENSMUSG00000033740	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103329	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285	4398	4628	4394	6556	4889	3666	1770	3005	3968	5350	3715	3869
ENSMUSG00000098201	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000103509	1	1	0	2	0	0	2	0	0	0	2	0
ENSMUSG00000048538	102	78	32	137	105	391	259	177	33	555	353	88
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	0	5	3	2	2	5	2	13	2	8	8	11
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909	18	2	0	16	14	1	2	0	2	16	8	4
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093970	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	24	20	4	4	10	13	0	4	12	11	14	8
ENSMUSG00000103933	3	2	1	0	0	0	1	2	1	0	0	1
ENSMUSG00000076135	0	0	4	0	0	1	1	1	0	0	3	0
ENSMUSG00000086195	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	0	0	2	2	0	0	0	0
ENSMUSG00000102316	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104428	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	4	0	4	0	1	1	0	0	1	0	3	2
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	1	5	2	4	0	2	0	0	5	0	3	1
ENSMUSG00000061024	621	603	562	543	654	326	403	458	685	951	766	624
ENSMUSG00000025911	2967	2424	1293	2478	2161	2353	1214	1842	1963	3342	2260	2245
ENSMUSG00000079671	42	40	3	21	21	14	27	35	19	78	25	41
ENSMUSG00000081441	16	14	2	18	24	22	15	9	15	18	19	6
ENSMUSG00000067879	37	37	0	21	2	8	48	50	38	68	30	85
ENSMUSG00000099827	0	2	0	0	0	0	2	2	0	0	2	0
